laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,CPU_Benchmark,Ram,Memory,Memory_benchmark,Gpu,GPU_benchmark,OpSys,Weight,Price_euros
1164,HP,EliteBook 820,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 6500U 2.50GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,2.37kg,398.99
1248,Lenovo,ThinkPad Yoga,Netbook,12.5,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.50GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.6kg,2663
227,Toshiba,Portege Z30-C-16L,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 520,3.5,Windows 10,1.8kg,638
279,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,3272,8GB,500GB HDD,28,Nvidia GeForce GTX 1060,19.8,Windows 10,4.2kg,2299
312,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,1.11kg,1149
360,Toshiba,Tecra A50-C-21G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce GTX 970M,12.6,Windows 10,1.7kg,1769
413,Toshiba,Portege Z30-C-16P,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,1.8kg,2241.5
420,Acer,Aspire R7,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 5300,2.1,Mac OS X,0.920kg,1165
424,HP,EliteBook 1040,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 5300,2.1,Mac OS X,0.920kg,1163
613,Toshiba,Tecra Z50-C-144,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 6000,3.9,Mac OS X,1.35kg,998
706,Toshiba,Portege Z30T-C-133,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.9kg,2029
